Paper Title,Year,Author,Publication,Url of paper,Source url
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Machine learning for inferring animal behavior from location and movement data,2019,G Wang - Ecological informatics  2019,Elsevier,https://www.sciencedirect.com/science/article/pii/S1574954118302036,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Behaviour Classification on Giraffes (Giraffa camelopardalis) Using Machine Learning Algorithms on Triaxial Acceleration Data of Two Commonly Used GPS Devices …,2021,S Brandes  F Sicks,mdpi.com,https://www.mdpi.com/1424-8220/21/6/2229,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Deep learning classification of canine behavior using a single collar-mounted accelerometer: Real-world validation,2021,RD Chambers  NC Yoder,mdpi.com,https://www.mdpi.com/2076-2615/11/6/1549,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
"Developing a simulated online model that integrates GNSS, accelerometer and weather data to detect parturition events in grazing sheep: a machine learning …",2021,ES Fogarty  DL Swain,mdpi.com,https://www.mdpi.com/2076-2615/11/2/303,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Love thy neighbour: automatic animal behavioural classification of acceleration data using the k-nearest neighbour algorithm,2014,OR Bidder  HA Campbell,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088609,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
R package for animal behavior classification from accelerometer data—rabc,2021,H Yu  M Klaassen - Ecology and Evolution,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.7937,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Machine learning for inferring animal behavior from location and movement data,2019,G Wang - Ecological informatics  2019,Elsevier,https://www.sciencedirect.com/science/article/pii/S1574954118302036,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Behaviour Classification on Giraffes (Giraffa camelopardalis) Using Machine Learning Algorithms on Triaxial Acceleration Data of Two Commonly Used GPS Devices …,2021,S Brandes  F Sicks,mdpi.com,https://www.mdpi.com/1424-8220/21/6/2229,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Deep learning classification of canine behavior using a single collar-mounted accelerometer: Real-world validation,2021,RD Chambers  NC Yoder,mdpi.com,https://www.mdpi.com/2076-2615/11/6/1549,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+machine%20learning+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
